project,test_size,mae
appceleratorstudio,100,1.8537879490852356
aptanastudio,100,3.8436859107017516
bamboo,100,1.0968187268823386
clover,77,4.075433501949558
datamanagement,100,6.185642478764057
duracloud,100,1.0613428312540054
jirasoftware,71,2.0503330902314523
mesos,100,1.3783015301823616
moodle,100,11.302529972791671
mule,100,2.4297026617825033
mulestudio,100,3.4888235354423522
springxd,100,1.672186747789383
talenddataquality,100,3.604175963997841
talendesb,100,1.1015135708451271
titanium,100,2.832799241542816
usergrid,97,1.5066721900222229
